State,,,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
Ohio,https://vote.ohio.gov/,Official,64.2%,62.9%,61.0%,"5,607,641","5,496,487","8,736,808","9,007,953",2.4%,"51,666",0,0,"51,666",,OH
Oklahoma,https://www.ok.gov/elections/support/20161108_seb.html,Official,,52.3%,49.0%,,"1,452,992","2,778,219","2,965,905",4.7%,"26,691","33,562","1,895","47,716",,OK
Oregon,http://sos.oregon.gov/elections/Documents/results/november-2016-results.pdf,Official,68.0%,66.2%,61.7%,"2,056,310","2,001,336","3,024,174","3,244,277",6.3%,"15,166",0,0,"15,166",,OR
Pennsylvania,http://www.electionreturns.pa.gov/ENR_New/General/CountyBreakDownResults?officeId=1&districtId=1&ElectionID=undefined&ElectionType=undefined&IsActive=undefined,Official,,63.6%,61.0%,,"6,165,478","9,691,160","10,108,486",3.7%,"48,098",0,0,"48,098",,PA
Rhode Island,http://www.ri.gov/election/results/2016/general_election/,Official,59.7%,59.1%,54.7%,"469,589","464,144","786,012","848,975",7.1%,"3,038",0,0,"3,038",,RI
South Carolina,http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,Official,57.3%,56.7%,54.2%,"2,123,584","2,103,027","3,709,283","3,883,145",3.4%,"20,350","32,634","4,347","43,298",,SC
South Dakota,https://sdsos.gov/elections-voting/assets/2016GeneralElectionOfficialStateCanvass.pdf,Official,60.0%,58.6%,56.6%,"378,995","370,093","631,173","653,841",2.5%,"3,744",0,"2,687","6,431",,SD
Tennessee,http://sos-tn-gov-files.s3.amazonaws.com/PresidentbyCountyNov2016.pdf,Official,51.8%,51.1%,48.6%,"2,545,271","2,508,027","4,909,426","5,164,969",3.5%,"27,906","62,609","12,092","75,685",,TN
Texas,http://elections.sos.state.tx.us/elchist319_state.htm,Official,51.4%,51.4%,43.4%,"8,975,000","8,969,226","17,448,910","20,671,564",13.3%,"155,327","374,285","111,287","479,956",,TX
Utah,https://elections.utah.gov/election-resources/2016-election-information,Official,57.9%,56.8%,52.8%,"1,152,369","1,131,430","1,991,885","2,144,784",6.9%,"5,846",0,0,"5,846",,UT
Vermont,https://vtelectionresults.sec.state.vt.us/Index.html#/state,Official,64.8%,63.7%,62.3%,"320,467","315,067","494,871","506,048",2.2%,0,0,0,0,,VT
Virginia,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Presidential.html,Official,,66.1%,60.8%,,"3,984,631","6,027,152","6,551,390",6.9%,"36,959","60,821","1,650","73,277",,VA
Washington,http://results.vote.wa.gov/results/current/,Final,65.7%,64.7%,58.3%,"3,363,440","3,317,019","5,123,020","5,691,833",8.6%,"18,335","89,317","11,322","80,568",,WA
West Virginia,http://services.sos.wv.gov/apps/elections/results/,Official,,50.2%,49.2%,,"714,423","1,423,031","1,453,201",1.1%,"7,137","6,523","3,550","14,405",,WV
Wisconsin,http://elections.wi.gov/sites/default/files/Statewide%20Results%20All%20Offices%20%28post-Presidential%20recount%29.pdf,Official,,69.5%,66.2%,,"2,976,150","4,285,071","4,495,783",3.2%,"22,889","44,489","20,401","68,649",,WI
Wyoming,http://soswy.state.wy.us/Elections/Docs/2016/2016GeneralResults.aspx,Official,60.2%,59.5%,57.3%,"258,788","255,849","429,682","446,396",2.4%,"2,323","4,666",842,"5,825",,WY
Note: Illinois highest vote includes write-in votes obtained from counties which include write-ins for official (the state only reports these) and unofficial write-in candidates ,,,,,,,,,,,,,,,,
